est_type,Bike/Cargo Bike,Carrier,Handcart,Motorcycle,No deliveries,Small truck,Van/Car,Walking
Manufacturer,0.02,0.06,0.0,0.14,0.36,0.08,0.26,0.08
Supplier,0.008620689655172414,0.017241379310344827,0.05172413793103448,0.2413793103448276,0.4482758620689655,0.05172413793103448,0.08620689655172414,0.09482758620689655
Retailer,0.004761904761904762,0.023809523809523808,0.030952380952380953,0.28809523809523807,0.46904761904761905,0.03571428571428571,0.10714285714285714,0.04047619047619048
E-commerce,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5
