est_type,Loading/unloading zone,Establishment facilities,Parking lot,On the sidewalk,On the road,Nearby roads
Manufacturer,0.46153846153846156,0.11538461538461539,0.0,0.038461538461538464,0.38461538461538464,0.0
Supplier,0.35,0.1125,0.025,0.1,0.3375,0.075
Retailer,0.46285714285714286,0.08,0.02857142857142857,0.04,0.32571428571428573,0.06285714285714286
E-commerce,1.0,0.0,0.0,0.0,0.0,0.0
