est_type,Bike/Cargo Bike,Carrier,Handcart,Motorcycle,No deliveries,Threewheeler,Van/Car,Walking
Manufacturer,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.17391304347826086,0.30434782608695654,0.0,0.3695652173913043,0.06521739130434782
Supplier,0.00819672131147541,0.02459016393442623,0.07377049180327869,0.32786885245901637,0.2459016393442623,0.0,0.19672131147540983,0.12295081967213115
Retailer,0.002331002331002331,0.023310023310023312,0.06293706293706294,0.32167832167832167,0.351981351981352,0.002331002331002331,0.1445221445221445,0.09090909090909091
E-commerce,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25
