est_type,Handcart,Elevator,Loading Ramp,Manual workforce,None,Other,Fixed Loading Ramp
Manufacturer,0.43137254901960786,0.058823529411764705,0.058823529411764705,0.0392156862745098,0.29411764705882354,0.0196078431372549,0.09803921568627451
Supplier,0.5833333333333334,0.05555555555555555,0.009259259259259259,0.009259259259259259,0.2962962962962963,0.009259259259259259,0.037037037037037035
Retailer,0.5694822888283378,0.0326975476839237,0.0027247956403269754,0.021798365122615803,0.29155313351498635,0.005449591280653951,0.07629427792915532
E-commerce,0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666
