est_type,Bicycle,Truck,Handcart,Motorcycle,Private Vehicle
Manufacturer,0.0,0.5,0.34,0.06,0.1
Supplier,0.01639344262295082,0.5245901639344263,0.2786885245901639,0.08196721311475409,0.09836065573770492
Retailer,0.029661016949152543,0.326271186440678,0.3644067796610169,0.1228813559322034,0.15677966101694915
E-commerce,0.0,0.2,0.4,0.0,0.4
