est_type,1,2,3,4,5
Manufacturer,0.6097560975609756,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.2926829268292683
Supplier,0.44086021505376344,0.13978494623655913,0.12903225806451613,0.0967741935483871,0.1935483870967742
Retailer,0.41260744985673353,0.12034383954154727,0.1518624641833811,0.1174785100286533,0.1977077363896848
E-commerce,0.25,0.5,0.0,0.0,0.25
