est_type,External (Rented),External (Shared),External (Own),Internal,None
Manufacturer,0.0975609756097561,0.0,0.12195121951219512,0.5609756097560976,0.21951219512195122
Supplier,0.13978494623655913,0.010752688172043012,0.010752688172043012,0.6129032258064516,0.22580645161290322
Retailer,0.0830945558739255,0.014326647564469915,0.011461318051575931,0.4785100286532951,0.41260744985673353
E-commerce,0.0,0.0,0.25,0.25,0.5
