est_type,1 time a week,2 times a week,3 times a week,4 times a week,5 times a week,6 times or more a week,Other
Manufacturer,0.14634146341463414,0.17073170731707318,0.21951219512195122,0.0,0.1951219512195122,0.1951219512195122,0.07317073170731707
Supplier,0.11827956989247312,0.0967741935483871,0.16129032258064516,0.043010752688172046,0.17204301075268819,0.3225806451612903,0.08602150537634409
Retailer,0.10601719197707736,0.19197707736389685,0.11461318051575932,0.06876790830945559,0.07736389684813753,0.332378223495702,0.10888252148997135
E-commerce,0.25,0.25,0.0,0.0,0.0,0.25,0.25
